id,Տրվել է(օր),Տրվել.է.խանութ.,Սեռ,Տարիքային.խումբ,Համաձայն.է.ստանալ.SMS,Շրջանառություն,Կուտակում,Վճարում
BH133089,21.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,15900,477,
BH133260,05.07.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,4500,,
BH128153,11.04.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,2100,,
BH128220,22.02.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,6000,,
BH128273,02.03.2018,BASIC CENTER Մետրոնոմ,Мужской,25-ից 45 տարեկան,,77700,1293,1200
BH128285,03.03.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,,31300,811,
BH128317,01.03.2018,COOLCLUB Երևան Մոլլ,Женский,45-ից բարձր,v,57400,600,
BH133049,17.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,38900,1267,
BH133083,21.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,10100,303,
BH133115,22.06.2018,COOLCLUB Երևան Մոլլ,Мужской,,v,27600,,
BH133117,23.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,17900,,
BH133142,30.06.2018,COOLCLUB Երևան Մոլլ,Женский,18-ից 25 տարեկան,v,5900,177,
BH133149,01.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,7500,,
BH133181,07.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,13800,,
BH131928,23.06.2018,BASIC CENTER Հանրապետության,Женский,,v,12600,400,
BH131946,07.07.2018,BASIC CENTER Հանրապետության,Женский,,v,48700,1141,
BH132206,11.06.2018,BATA Դալմա,Женский,45-ից բարձր,v,43900,1317,
BH131580,08.06.2018,BASIC SHOES Երևան Մոլ,Мужской,18-ից 25 տարեկան,v,17900,,
BH131665,31.05.2018,BATA Պողոտա,Женский,25-ից 45 տարեկան,v,1579700,22945,18900
BH131725,13.07.2018,BASIC CENTER Հանրապետության,Женский,,v,156600,1427,1300
BH131730,13.07.2018,BASIC CENTER Հանրապետության,Мужской,,v,6900,207,
BH131845,15.06.2018,BASIC CENTER Հանրապետության,Мужской,,v,6500,,
BH131987,28.06.2018,BASIC CENTER Հանրապետության,Женский,,v,51000,864,
BH132006,31.05.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,17800,200,
BH132037,03.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,,11500,,
BH132055,05.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,6300,,
BH132148,05.06.2018,BASIC CENTER Կոմիտաս,Женский,,v,9000,,
BH132273,06.06.2018,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,32400,57,
BH132332,25.06.2018,BASIC CENTER Ավան,Мужской,,v,9900,297,
BH132379,13.06.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,9000,,
BH133036,16.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,232600,6409,
BH133085,21.06.2018,BASIC CENTER Դալմա,Мужской,,v,16700,100,
BH133087,21.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,92300,127,
BH133356,29.06.2018,BASIC CENTER Մետրոնոմ,Женский,18-ից 25 տարեկան,v,3047400,23035,18800
BH133437,30.06.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,102100,2098,
BH133514,29.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,67000,1041,
BH133742,14.07.2018,BATA Դալմա,Мужской,45-ից բարձր,,25900,877,
BH133807,07.07.2018,BASIC SHOES Երևան Մոլ,Женский,,v,11000,,
BH133837,14.07.2018,BASIC SHOES Երևան Մոլ,Женский,,v,28800,864,
BH133875,28.07.2018,BASIC SHOES Երևան Մոլ,Женский,,v,5900,177,
BH133905,15.07.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,6300,,
BH133931,21.07.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,4000,,
BH072506,21.04.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,100800,296,
BH133140,28.06.2018,COOLCLUB Երևան Մոլլ,Женский,18-ից 25 տարեկան,,5000,,
BH133174,06.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,22300,93,
BH133213,26.06.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,26300,,
BH133294,13.07.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,22800,684,
BH133385,05.07.2018,BASIC CENTER Մետրոնոմ,Женский,,v,16000,,
BH133467,04.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,14300,,
BH133485,05.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,189400,4705,
BH133544,07.08.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,5900,277,
BH133050,17.06.2018,BASIC CENTER Դալմա,Женский,18-ից 25 տարեկան,v,25100,147,
BH133100,20.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,70700,1551,
BH133232,30.06.2018,BASIC CENTER Կոմիտաս,Женский,,,26100,1005,
BH133274,07.07.2018,BASIC CENTER Կոմիտաս,Мужской,,,36400,177,
BH133299,21.06.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,60300,1484,
BH133134,27.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,12600,,
BH133280,07.07.2018,BASIC CENTER Կոմիտաս,Женский,,,25400,114,
BH133324,24.06.2018,BASIC CENTER Մետրոնոմ,Мужской,45-ից բարձր,v,7100,,
BH133497,05.07.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,7900,237,
BH133563,12.08.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,17100,327,
BH133598,18.08.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,114100,974,
BH133047,17.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,39100,18,
BH133106,18.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,16900,607,
BH133172,06.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,27500,1070,
BH133222,28.06.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,55900,300,
BH133247,02.07.2018,BASIC CENTER Կոմիտաս,Женский,,v,44700,462,
BH133390,06.07.2018,BASIC CENTER Մետրոնոմ,Женский,45-ից բարձր,v,5900,177,
BH133422,29.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,87000,1323,
BH133508,28.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,64600,1300,
BH133731,13.07.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,25900,877,
BH133059,17.06.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,,241100,7317,7000
BH133163,04.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,6500,,
BH133202,23.06.2018,BASIC CENTER Հանրապետության,Мужской,18-ից 25 տարեկան,v,7900,207,
BH133398,10.07.2018,BATA Պողոտա,Женский,25-ից 45 տարեկան,v,995900,18838,21400
BH125485,07.02.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,1900,57,
BH125518,09.01.2018,BASIC CENTER Հանրապետության,Женский,,v,32400,57,
BH125529,22.01.2018,BASIC CENTER Հանրապետության,Женский,,v,25100,394,
BH125771,13.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,,93200,2075,
BH125974,10.01.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,,4300,,
BH125998,14.01.2018,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,14100,100,
BH126186,22.01.2018,COOLCLUB Երևան Մոլլ,Женский,,v,9500,500,
BH126195,27.01.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,6400,,
BH126218,12.01.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,21000,,
BH133519,30.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,9600,,
BH133583,15.08.2018,BASIC CENTER Ավան,Женский,Մինչև 18 տարեկան,v,64700,147,
BH133639,10.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,14800,644,
BH125468,13.01.2018,BASIC CENTER Ավան,Женский,,v,26400,687,
BH125494,13.02.2018,BASIC CENTER Ավան,Женский,,v,199700,1921,1900
BH125520,10.01.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,84500,871,
BH125577,07.02.2018,BASIC CENTER Հանրապետության,Мужской,25-ից 45 տարեկան,v,20300,,
BH125688,28.01.2018,BASIC CENTER Հանրապետության,Женский,,v,5200,,
BH126060,05.02.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,58100,1428,
BH126146,06.01.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,7500,,
BH126189,26.01.2018,COOLCLUB Երևան Մոլլ,Женский,,v,5500,,
BH126259,27.01.2018,BASIC SHOES Երևան Մոլ,Женский,,v,7900,337,
BH126353,06.01.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,17900,,
BH126559,31.01.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,15200,300,
BH126668,26.01.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,5900,177,
BH126691,30.01.2018,BASIC CENTER Մետրոնոմ,Мужской,18-ից 25 տարեկան,v,12500,500,
BH126693,30.01.2018,BASIC CENTER Մետրոնոմ,Мужской,18-ից 25 տարեկան,v,39700,297,
BH126716,21.01.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,65600,1994,
BH126288,09.02.2018,BASIC SHOES Երևան Մոլ,Женский,45-ից բարձր,v,22000,,
BH126344,03.01.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,19900,,
BH126439,08.01.2018,BASIC CENTER Մետրոնոմ,Женский,45-ից բարձր,v,,100,
BH133109,20.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,36000,87,
BH133177,06.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,3400,,
BH133257,05.07.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,69500,2285,
BH128628,10.03.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,8700,300,
BH128685,17.03.2018,BASIC CENTER Մետրոնոմ,Мужской,25-ից 45 տարեկան,v,44500,105,
BH130782,25.05.2018,BASIC CENTER Ավան,Мужской,,v,,4069,2300
BH130793,29.05.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,21900,900,900
BH130878,25.05.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,1488500,32691,
BH130904,04.05.2018,BASIC SHOES Երևան Մոլ,Женский,,v,28100,100,
BH130906,04.05.2018,BASIC SHOES Երևան Մոլ,Женский,,v,15000,450,
BH130936,15.05.2018,BASIC SHOES Երևան Մոլ,Женский,,,39600,874,
BH131086,14.05.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,6200,,
BH131404,27.05.2018,COOLCLUB Երևան Մոլլ,Женский,,v,7000,117,
BH131467,07.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,19800,237,
BH131785,29.09.2018,BASIC CENTER Հանրապետության,Мужской,,,13500,,
BH131819,11.06.2018,BASIC CENTER Հանրապետության,Женский,,v,87000,754,700
BH132032,04.06.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,40900,1327,
BH132100,09.06.2018,BASIC CENTER Դալմա,Мужской,18-ից 25 տարեկան,v,60500,87,
BH132109,02.06.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,,14800,,
BH133316,23.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,27600,1051,
BH133399,07.07.2018,BASIC CENTER Մետրոնոմ,Мужской,45-ից բարձր,v,68900,,
BH133458,02.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,,100,
BH133520,30.07.2018,BASIC CENTER Ավան,Мужской,45-ից բարձր,v,18000,,
BH133555,08.08.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,309800,,
BH133678,22.07.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,73100,507,
BH133798,07.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,43000,,
BH133826,11.07.2018,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,470600,14395,13700
BH133024,15.06.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,250800,3299,1500
BH133224,29.06.2018,BASIC CENTER Կոմիտաս,Женский,,v,82000,837,
BH133305,22.06.2018,BASIC CENTER Մետրոնոմ,Мужской,25-ից 45 տարեկան,v,23600,601,
BH133307,22.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,8900,367,
BH133330,25.06.2018,BASIC CENTER Մետրոնոմ,Женский,45-ից բարձր,v,8000,,
BH133060,17.06.2018,BASIC CENTER Դալմա,Женский,,v,80200,484,
BH133179,06.07.2018,COOLCLUB Երևան Մոլլ,Мужской,,v,5900,177,
BH133217,27.06.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,6900,307,
BH133314,23.06.2018,BASIC CENTER Մետրոնոմ,Женский,45-ից բարձր,v,37000,470,
BH133318,23.06.2018,BASIC CENTER Մետրոնոմ,Женский,18-ից 25 տարեկան,v,,,
BH133504,11.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,,,,
BH133554,08.08.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,9800,467,
BH133573,14.08.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,4000,,
BH133589,16.08.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,,,
BH133676,21.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,,,
BH133726,12.07.2018,BATA Դալմա,Женский,18-ից 25 տարեկան,v,15900,477,
BH133828,11.07.2018,BASIC SHOES Երևան Մոլ,Женский,18-ից 25 տարեկան,v,32800,424,
BH072959,30.08.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,323200,2294,
BH133019,14.06.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,7900,237,
BH133042,16.06.2018,BASIC CENTER Դալմա,Женский,18-ից 25 տարեկան,v,42200,,
BH133078,20.06.2018,BASIC CENTER Դալմա,Мужской,18-ից 25 տարեկան,v,11500,,
BH133178,06.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,9400,600,
BH133881,26.07.2018,BASIC SHOES Երևան Մոլ,Мужской,,v,21000,18,
BH133910,16.07.2018,COOLCLUB Դալմա,Женский,18-ից 25 տարեկան,v,53400,1458,
BH133005,13.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,85400,2862,
BH133128,25.06.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,12800,234,
BH133160,15.08.2018,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,103400,,
BH133236,01.07.2018,BASIC CENTER Կոմիտաս,Женский,45-ից բարձր,v,67600,2119,
BH133300,21.06.2018,BASIC CENTER Կոմիտաս,Мужской,,v,28400,87,
BH133350,29.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,21100,484,
BH133353,29.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,18000,,
BH133364,01.07.2018,BASIC CENTER Մետրոնոմ,,25-ից 45 տարեկան,v,5900,277,
BH133397,06.07.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,12800,500,
BH133447,01.07.2018,BASIC CENTER Դալմա,Мужской,45-ից բարձր,v,58800,1424,
BH133486,05.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,26300,,
BH133606,29.06.2018,BASIC CENTER Ավան,Женский,,v,92700,951,
BH133006,13.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,370500,1471,1400
BH133020,14.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,32300,,
BH133043,16.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,5500,,
BH133143,01.07.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,16900,507,
BH133161,04.07.2018,COOLCLUB Երևան Մոլլ,Мужской,25-ից 45 տարեկան,v,5500,,
BH133235,01.07.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,18500,,
BH133368,02.07.2018,BASIC CENTER Մետրոնոմ,Мужской,25-ից 45 տարեկան,,1342912,15382,11900
BH133444,01.07.2018,BASIC CENTER Դալմա,Мужской,45-ից բարձր,v,91300,700,
BH133489,05.07.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,11000,507,
BH133599,19.08.2018,BASIC CENTER Ավան,Женский,,v,12600,255,
BH133640,15.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,19800,794,
BH133641,15.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,7500,,
BH133842,15.07.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,114600,3001,
BH133934,21.07.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,9600,,
BH133092,22.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,19000,,
BH133146,01.07.2018,COOLCLUB Երևան Մոլլ,Женский,,v,67100,691,
BH133259,05.07.2018,BASIC CENTER Կոմիտաս,Женский,,,21000,,
BH133335,27.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,2500,,
BH133392,06.07.2018,,Мужской,25-ից 45 տարեկան,v,43500,,
BH133459,03.07.2018,BASIC CENTER Դալմա,Женский,,v,707267,,
BH133522,31.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,4900,187,
BH133584,15.08.2018,BATA Ավան,Женский,25-ից 45 տարեկան,v,806100,361,2200
BH133061,17.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,,100,
BH133110,20.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,9900,697,
BH133221,28.06.2018,BASIC CENTER Կոմիտաս,Женский,,v,20400,777,
BH133253,04.07.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,23000,690,
BH133273,07.07.2018,BASIC CENTER Կոմիտաս,Женский,,v,13400,396,200
BH133623,04.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,130800,2283,2200
BH133655,11.07.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,23300,614,
BH133709,09.07.2018,BATA Դալմա,Женский,45-ից բարձր,,12900,387,
BH133743,11.11.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,55800,147,700
BH133799,07.07.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,157200,1791,
BH133895,31.07.2018,BASIC SHOES Երևան Մոլ,Женский,,v,5900,177,
BH132367,08.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,5900,,
BH132384,15.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,95400,367,
BH132391,17.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,,24700,1041,
BH131802,09.06.2018,BASIC CENTER Հանրապետության,Женский,,v,33400,,
BH131841,15.06.2018,BASIC CENTER Հանրապետության,Мужской,,,79200,230,
BH131856,21.06.2018,BASIC CENTER Հանրապետության,Женский,,v,8000,,
BH131906,13.10.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,65200,,
BH132079,06.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,7900,237,
BH132189,17.06.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,4100,100,
BH132196,20.06.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,17400,604,600
BH132292,10.06.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,18300,57,
BH132320,23.06.2018,BATA Ավան,Мужской,,v,182000,,
BH132364,08.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,29700,1291,
BH132082,10.06.2018,BASIC CENTER Դալմա,Мужской,,,11900,100,
BH132085,10.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,19900,597,
BH132194,19.06.2018,BASIC CENTER Կոմիտաս,Мужской,45-ից բարձր,v,160300,392,
BH132244,17.06.2018,BATA Դալմա,Мужской,25-ից 45 տարեկան,v,19000,,
BH132272,06.06.2018,BATA Դալմա,Мужской,,v,30900,1027,
BH130837,16.05.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,14900,177,
BH130838,16.05.2018,BASIC CENTER Կոմիտաս,Мужской,,v,18600,273,
BH130876,25.05.2018,BASIC CENTER Կոմիտաս,Женский,,v,43700,891,
BH130918,06.05.2018,BASIC SHOES Երևան Մոլ,Мужской,45-ից բարձր,v,64700,1941,
BH130996,20.05.2018,BASIC SHOES Երևան Մոլ,Женский,,v,15900,100,
BH131088,14.05.2018,BASIC CENTER Դալմա,Женский,45-ից բարձր,v,41000,1361,
BH131347,05.06.2018,COOLCLUB Դալմա,Мужской,25-ից 45 տարեկան,v,9900,397,
BH131493,14.06.2018,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,,500,
BH131539,30.05.2018,BASIC SHOES Երևան Մոլ,Мужской,25-ից 45 տարեկան,v,,127,
BH131554,02.06.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,153500,951,
BH131557,02.06.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,23600,297,
BH131583,08.06.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,24200,,
BH131744,30.09.2018,BASIC CENTER Հանրապետության,Женский,,,-3600,147,
BH131788,28.09.2018,BASIC CENTER Հանրապետության,Женский,,v,30500,,
BH131885,17.06.2018,BASIC CENTER Հանրապետության,Женский,,v,16900,507,
BH131903,11.06.2018,BASIC CENTER Հանրապետության,Женский,,v,3900,117,
BH131948,05.07.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,40500,,
BH132019,02.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,22700,300,
BH127489,23.03.2018,BASIC CENTER Հանրապետության,Мужской,,v,12700,,
BH127516,18.02.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,,56700,1274,
BH127573,04.03.2018,BASIC CENTER Դալմա,Женский,,v,13700,,
BH127585,06.02.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,45800,147,
BH127617,06.02.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,1044800,3972,4400
BH127715,09.02.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,31800,774,
BH127752,17.02.2018,COOLCLUB Դալմա,Женский,25-ից 45 տարեկան,v,33700,274,
BH127834,11.03.2018,BATA Դալմա,Женский,45-ից բարձր,v,45900,1477,
BH127867,28.03.2018,BATA Դալմա,Женский,,v,35900,1077,
BH128117,27.02.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,174100,2862,3200
BH128213,21.02.2018,BASIC CENTER Մետրոնոմ,Мужской,25-ից 45 տարեկան,v,22400,,
BH128337,06.03.2018,COOLCLUB Երևան Մոլլ,Женский,,v,10000,400,400
BH125255,18.01.2018,,Женский,,v,,,
BH125285,03.02.2018,BASIC CENTER Կոմիտաս,Женский,,v,55000,244,
BH125533,28.01.2018,BASIC CENTER Հանրապետության,Женский,,v,4500,,
BH125535,13.02.2018,BASIC CENTER Հանրապետության,Женский,,,12000,,
BH125586,10.02.2018,BASIC CENTER Հանրապետության,Женский,45-ից բարձր,v,19400,267,
BH125699,03.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,v,30600,,
BH125762,10.02.2018,BASIC CENTER Հանրապետության,Женский,25-ից 45 տարեկան,,126100,100,
BH125800,24.02.2018,BASIC CENTER Հանրապետության,Женский,18-ից 25 տարեկան,v,13500,117,
BH133079,21.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,37000,637,
BH133093,22.06.2018,BASIC CENTER Դալմա,Мужской,18-ից 25 տարեկան,v,19000,,
BH133096,20.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,16900,507,
BH133111,20.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,49700,447,300
BH133129,26.06.2018,COOLCLUB Երևան Մոլլ,Женский,,v,26500,,
BH133218,27.06.2018,BASIC CENTER Կոմիտաս,Женский,,v,65400,1014,
BH133254,04.07.2018,BASIC CENTER Կոմիտաս,Женский,,v,117100,,100
BH133256,05.07.2018,BASIC CENTER Կոմիտաս,Мужской,25-ից 45 տարեկան,v,19900,27,
BH133270,22.06.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,15700,771,
BH133303,21.06.2018,BASIC CENTER Մետրոնոմ,Женский,18-ից 25 տարեկան,v,21800,854,
BH133672,19.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,,100,
BH133708,09.07.2018,BATA Դալմա,Женский,45-ից բարձր,v,30200,237,
BH129189,06.04.2018,BASIC SHOES Երևան Մոլ,Женский,25-ից 45 տարեկան,v,6900,207,
BH132000,01.06.2018,BASIC CENTER Հանրապետության,Женский,,v,70100,567,
BH132026,03.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,22800,623,
BH132092,10.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,72500,2275,
BH132094,09.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,79300,457,
BH132266,19.06.2018,BATA Դալմա,Женский,25-ից 45 տարեկան,v,31900,,
BH132283,08.06.2018,BATA Դալմա,Женский,18-ից 25 տարեկան,v,35900,1177,
BH132308,15.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,v,,647,
BH132325,24.06.2018,BASIC CENTER Ավան,Женский,25-ից 45 տարեկան,,36500,317,
BH133028,15.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,,21500,,
BH133044,16.06.2018,BASIC CENTER Դալմա,Женский,18-ից 25 տարեկան,v,27100,,
BH133076,20.06.2018,BASIC CENTER Դալմա,Женский,25-ից 45 տարեկան,v,38500,500,
BH133144,19.11.2019,COOLCLUB Երևան Մոլլ,Женский,25-ից 45 տարեկան,v,126400,4204,1700
BH133234,01.07.2018,BASIC CENTER Կոմիտաս,Женский,25-ից 45 տարեկան,v,21800,1054,
BH133334,25.06.2018,BASIC CENTER Մետրոնոմ,Женский,,v,58800,1494,
BH133351,29.06.2018,BASIC CENTER Մետրոնոմ,Женский,25-ից 45 տարեկան,v,13900,517,
BH133413,28.06.2018,BASIC CENTER Դալմա,Мужской,25-ից 45 տարեկան,v,23000,,
BH133505,17.07.2018,BASIC CENTER Ավան,Женский,45-ից բարձր,v,20800,,
BH133506,28.07.2018,BASIC CENTER Ավան,Мужской,25-ից 45 տարեկան,v,9900,397,
BH133625,02.08.2018,BASIC CENTER Ավան,Женский,,v,,527,
